m,a Dynamic,a Static,a Zero entropy,a Zero replicon,a Beta infinity
1.0e-7,23487.05651319547,26106.140771371665,26155.799170200928,26209.06318368834,26281.943547594947
1.0e-6,6950.644493142249,7668.6384759767525,7695.658265152642,7713.243519177422,7743.083888272093
1.0e-5,2038.6677247708442,2222.4350208051324,2236.0921476406943,2238.1915284805846,2247.288865019278
0.0001,585.7268660449386,631.186678880717,637.33109439733,640.3603098151349,647.7160198669386
0.0009,173.90020998135668,184.15138619956105,187.9200856425432,187.8092145602629,189.06577442583622
0.001,163.7322534331314,173.39055816849444,177.05690875033937,177.00471488198423,178.51836846366024
0.002,110.37104177277429,116.2630503295988,119.4288259731333,119.37260075662567,120.89073203468878
0.005,64.77737622484615,67.68078284975509,70.38959962012645,70.27713839861498,71.73922064744923
0.01,42.91260203336177,44.33879868526779,46.844069525741126,46.637860809322326,48.029890161023594
0.02,27.943669143027297,28.450979391937622,30.662746542601212,30.42870653577183,31.04577814756726
0.03,21.433401303646463,21.60211969675635,23.834038979666985,23.531191142179775,24.206855583586627
0.04,17.611094029218602,17.611094029218602,19.838902210380578,19.398230172914513,20.221301836136565
0.05,14.956531252632379,14.956531252632379,17.159639523581472,16.583930408481535,17.539345937053167
0.06,13.168511006251434,13.168511006251434,15.201028580843266,14.474381776757081,15.578628374936816
0.07,11.799012640959665,11.799012640959665,13.68973376530058,12.813857243401195,14.06576654932904
0.08,10.680196567320417,10.680196567320417,12.491618337992644,11.470301363807279,12.85376143512117
0.09,9.788311360141464,9.788311360141464,11.494552943876954,9.83714217462428,11.859072170852308
0.1,NaN,NaN,10.576329659588998,9.18154065679926,10.687524628073175
0.12,NaN,NaN,9.226151055368785,8.09189324800864,9.429394757243433
0.14,NaN,NaN,8.180406153357607,7.2449984278067525,8.302399675365654
0.16,NaN,NaN,7.3489797507243155,6.60075888690438,7.368981582055946
0.18,NaN,NaN,6.661890901317793,6.043013030352071,6.712861924790163
0.2,NaN,NaN,6.0897054092714065,5.5732272677668435,6.1401426394766725
0.22,NaN,NaN,5.599570704606363,5.171528419511064,5.646251172644913
0.24,NaN,NaN,5.176364791671823,4.812164254700522,5.235529320421121
0.26,NaN,NaN,4.799042082410558,4.497819962626578,4.846799066318269
0.28,NaN,NaN,4.462840008194807,4.211594134521909,4.506164925568643
0.3,NaN,NaN,4.163350040766154,3.949983505919925,4.202191448534842
0.34,NaN,NaN,3.6452224282098844,3.489689039211517,3.676298330559554
0.36,NaN,NaN,3.4192877053626214,3.2859456168849315,3.450032024053003
0.38,NaN,NaN,3.2126479246413644,3.0960594991711403,3.2386164207285817
0.4,NaN,NaN,3.0225823652530424,2.92225875421403,3.0384989686291317
0.5,NaN,NaN,2.2425504714093645,2.202139462395123,2.2954146096345602
0.6,NaN,NaN,1.6715193992800226,1.6358730938055985,1.6783669123171467
0.8,NaN,NaN,0.7847467680278307,0.7931602678551191,0.8135039528596095
0.999,NaN,NaN,0.0,0.0,0.0
